Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Winter Storm,2011,2/1/2011,9:00 PM,2/2/2011,2:00 PM,Exelon Corp/ComEd - Commonwealth Edison,Northern Illinois,RFC,UNK,190000,"severe weather, winter storm"
Winter Storm,2011,2/1/2011,3:00 PM,2/3/2011,12:00 PM,American Electric Power - Ohio,"Indiana, Ohio",RFC,UNK,158013,"severe weather, winter storm"
Ice Storm,2011,1/31/2011,10:00 PM,2/3/2011,12:00 PM,Duke Energy Midwest,Southwestern Ohio and Indiana,RFC,996,272880,"severe weather, winter storm"
Vandalism,2011,1/27/2011,9:30 AM,1/27/2011,9:30 AM,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0,vandalism
Fuel Supply Deficiency (Coal),2011,1/27/2011,5:00 PM,1/30/2011,5:00 AM,"AES Greenidge, LLC",Central New York,NPCC,108,N/A,"fuel supply emergency, coal"
Winter Storm,2011,1/26/2011,7:43 PM,1/27/2011,6:18 PM,Dominion - Virginia Power,Northern Virginia,SERC,600,150084,"severe weather, winter storm"
Winter Storm,2011,1/26/2011,6:28 PM,1/29/2011,5:00 PM,Baltimore Gas and Electric Company,Maryland,RFC,N/A,234326,"severe weather, winter storm"
Suspected Telecommunications Attack,2011,1/26/2011,9:25 AM,1/27/2011,5:00 PM,NV Energy,"Carson City, Nevada",WECC,0,0,"vandalism, cyber"
Vandalism,2011,1/26/2011,9:33 AM,1/27/2011,3:03 PM,ITC Transmission,Michigan,RFC,0,0,vandalism
Winter Storm,2011,1/26/2011,5:00 PM,1/31/2011,8:00 AM,Potomac Electric Power Co/ PEPCO Holdings Inc.,"Montgomery and Prince George's County, Maryland and District of Columbia",RFC,N/A,210000,"severe weather, winter storm"
Vandalism,2011,1/25/2011,3:23 AM,1/25/2011,11:00 AM,Atlantic City Electric,"Newark, Delaware",RFC,0,0,vandalism
Suspicious Activity,2011,1/24/2011,1:20 PM,1/24/2011,1:30 PM,El Paso Electric Company,"Newman Power Plant, Texas",WECC,0,0,vandalism
Vandalism,2011,1/23/2011,7:00 AM,1/23/2011,1:00 PM,PacifiCorp,"Franklin County, Idaho",WECC,0,0,vandalism
Vandalism,2011,1/18/2011,2:00 PM,1/18/2011,2:00 PM,National Grid,"Whitman, Auburn St Substation, Massachusetts",NPCC,0,0,vandalism
Firm System Load Shed,2011,1/13/2011,7:21 AM,1/13/2011,8:13 AM,JEA,North Florida,FRCC,150,20900,load shedding
Winter Storm,2011,1/12/2011,6:00 AM,1/12/2011,2:00 PM,National Grid,Massachusetts,NPCC,N/A,80000,"severe weather, winter storm"
Electrical Fault at Generator,2011,1/11/2011,11:08 PM,1/11/2011,11:08 PM,New Athens Generating Co. LLC,"Athens, New York",NPCC,0,0,equipment failure
Fuel Supply Deficiency,2010,12/30/2010,2:00 p.m.,1/12/2010,6:00 AM,AES Cayuga,New York,RFC,300,N/A,fuel supply emergency
Severe Weather,2010,12/26/2010,8:15 a.m.,12/26/2010,4:15 PM,Progress Energy Carolinas,Carolina,SERC,N/A,42000,severe weather
Severe Weather,2010,12/18/2010,5:00 a.m.,12/19/2010,10:00 PM,Puget Sound Energy,"Redmond, Washington",WECC,184,92090,severe weather
Transmission Equipment/Firm System Load,2010,12/14/2010,7:36 a.m.,12/15/2010,9:00 AM,California Department of Water Resources,Southern California,WECC,464,N/A,"transmission interruption, load shedding"
Electrical System Separation - Islanding,2010,12/14/2010,7:20 a.m.,12/14/2010,7:25 AM,Pacific Gas and Electric,California,WECC,9,6635,islanding
Severe Weather,2010,12/12/2010,4:30 p.m.,12/15/2010,2:00 PM,Detroit Edison,Southeastern Michigan,RFC,210,60175,severe weather
Electrical System Separation - Islanding,2010,12/3/2010,9:32 p.m.,12/4/2010,2:00 AM,Pacific Gas and Electric,California,WECC,22,7077,islanding
Electrical System Separation - Islanding,2010,11/23/2010,2:01 p.m.,11/23/2010,6:12 PM,Pacific Gas and Electric,Northern California,WECC,22,7077,islanding
Winter Storm,2010,11/22/2010,11:00 p.m.,11/24/2010,8:00 PM,Puget Sound Energy,"Puget Sound Region, Washington",WECC,420,123535,"severe weather, winter storm"
Winter Storm,2010,11/21/2010,1:39 a.m.,11/24/2010,4:46 PM,Pacific Gas and Electric,Northern and Central California,WECC,75,60000,"severe weather, winter storm"
High Winds,2010,11/15/2010,11:00 p.m.,11/16/2010,2:14 AM,Puget Sound Energy,Puget Sound Region,WECC,391,149256,"severe weather, wind"
Winter Storm,2010,11/13/2010,3:00 p.m.,11/14/2010,10:00 PM,Xcel Energy/Northern States Power Company,Minnesota,MRO,N/A,60000,"severe weather, winter storm"
Snow and High Winds,2010,11/8/2010,6:47 a.m.,11/8/2010,6:00 PM,ISO New England,Maine,NPCC,N/A,60863,"severe weather, winter storm, wind"
Electrical System Separation - Islanding,2010,11/6/2010,3:53 p.m.,11/6/2010,6:08 PM,Pacific Gas and Electric,Northern California,WECC,20,4,islanding
Transmission Equipment Failure/Interruptible Load Shed,2010,11/4/2010,9:46 a.m.,11/4/2010,10:47 AM,PacifiCorp,"Rock Springs, Wyoming",WECC,N/A,N/A,"transmission interruption, equipment failure, load shedding"
Firm System Load Loss,2010,10/31/2010,10:26 p.m.,11/1/2010,1:45 AM,California Department of Water Resources,"Bakersfield, California",WECC,500,N/A,load shedding
Electrical System Separation-Islanding,2010,10/27/2010,5:16 p.m.,10/27/2010,5:27 PM,Pacific Gas and Electric,Northern California,WECC,16,2674,islanding
High Winds,2010,10/27/2010,4:00 a.m.,10/27/2010,12:00 PM,Wisconsin Public Service Corporation,Northeast and North Central Wisconsin,MRO,N/A,63000,"severe weather, wind"
High Winds,2010,10/27/2010,8:00 a.m.,10/29/2010,7:00 AM,Consumers Energy,Michigan's Northerly Lower Peninsula,RFC,240,285000,"severe weather, wind"
High Winds,2010,10/27/2010,5:00 p.m.,10/29/2010,4:00 AM,Commonwealth Edison,Northern Illinois,RFC,N/A,127000,"severe weather, wind"
High Winds,2010,10/26/2010,8:00 p.m.,10/28/2010,10:00 PM,Xcel Energy/Northern States Power Company,Minnesota,MRO,N/A,70000,"severe weather, wind"
Thunderstorms,2010,10/26/2010,9:00 a.m.,10/28/2010,11:00 AM,Commonwealth Edison,Northern Illinois,RFC,N/A,192106,"severe weather, thunderstorm"
Rain and High Winds,2010,10/5/2010,5:45 a.m.,10/7/2010,6:00a.,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,N/A,73514,"severe weather, wind, rain"
Interruptible Load Shed,2010,9/27/2010,3:15 p.m.,9/27/2010,6:12 PM,Southern California Edison Company,Central and Southern California,WECC,595,N/A,load shedding
Thunderstorms,2010,9/22/2010,5:38 p.m.,9/24/2010,11:30 PM,Allegheny Power,Western Pennsylvania,RFC,389,82861,"severe weather, thunderstorm"
Firm Load Shed,2010,9/22/2010,6:12 a.m.,9/22/2010,11:00 PM,California Department of Water Resources,"Bakersfield, California",WECC,526,N/A,load shedding
Thunderstorms,2010,9/22/2010,4:08 p.m.,9/26/2010,12:00 AM,Duquesne Light Company,"City of Pittsburgh, Pennsylvania",RFC,156,52000,"severe weather, thunderstorm"
Thunderstorms,2010,9/21/2010,9:31 p.m.,9/22/2010,2:30 PM,Consumers Energy,Central and Southern Michigan,RFC,N/A,138000,"severe weather, thunderstorm"
Low Flying Helicopter,2010,9/20/2010,5:00 p.m.,9/20/2010,5:30 PM,Birchwood Power Facility,"King George County, Virginia",SERC,N/A,N/A,low flying helicopter
Tropical Storm,2010,9/7/2010,2:02 p.m.,9/8/2010,1:27 AM,CPS Energy,"San Antonio, Texas",TRE,N/A,340350,"severe weather, hurricane/tropical storm"
Electrical System Separation (Islanding),2010,9/1/2010,10:20 a.m.,9/1/2010,12:44 PM,Pacific Gas and Electric,"Pittsburg (Bay Area), California",WECC,31,15000,islanding
Severe Weather,2010,8/23/2010,5:50 p.m.,8/24/2010,9:30 AM,CenterPoint Energy,"Houston, Texas",TRE,746,81586,severe weather
Severe Weather,2010,8/19/2010,6:00 p.m.,8/23/2010,3:30 PM,Detroit Edison,Southeastern Michigan,RFC,340,80000,severe weather
Made Public Appeals,2010,8/12/2010,3:42 p.m.,8/12/2010,10:10 PM,Wisconsin Public Service,"City of Oshkosh, Wisconsin",MRO,30,7600,public appeal
Severe Weather,2010,8/12/2010,6:45 a.m.,8/12/2010,9:00 PM,Potomac Electric Power Co.,"District of Columbia, Maryland",RFC,N/A,101003,severe weather
Made Public Appeals,2010,8/12/2010,8:21 a.m.,8/12/2010,11:00 AM,Nebraska Public Power District,Central Nebraska,SPP,65,N/A,public appeal
Severe Weather,2010,8/11/2010,3:21 p.m.,8/11/2010,12:12 PM,American Electric Power,Ohio,RFC,N/A,57000,severe weather
Fuel Supply Defiency,2010,8/9/2010,12:00 p.m.,8/16/2010,12:00 PM,AES Greenidge and Cayuga0RFC),Upstate New York,,N/A,N/A,fuel supply emergency
Thunderstorms,2010,8/5/2010,3:30 p.m.,8/5/2010,10:00 PM,Potomac Electric Power Co,"District of Columbia, Maryland",RFC,N/A,76729,"severe weather, thunderstorm"
Thunderstorms,2010,8/5/2010,3:54 p.m.,8/8/2010,12:00 AM,Dominion - Virginia Power,Northern Virginia,RFC,N/A,145157,"severe weather, thunderstorm"
Made Public Appeals,2010,8/4/2010,12:00 p.m.,8/4/2010,10:00 PM,Southwestern Public Service Company,"Northern Texas, Eastern New Mexico",SPP,N/A,N/A,public appeal
Severe Weather,2010,8/4/2010,5:00 p.m.,8/6/2010,4:00 AM,American Electric Power,"Ohio, West Virginia, Kentucky",RFC,N/A,37000,severe weather
Thunderstorms,2010,8/4/2010,4:45 p.m.,8/7/2010,12:00 AM,Allegheny Power,"Western Pennsylvania, Northwestern and Central West Virginia",RFC,60,11186,"severe weather, thunderstorm"
Fuel Supply Deficiency (Hydro),2010,8/2/2010,12:00 p.m.,8/2/2010,11:00 PM,California Department of Waters Resources,Central California,WECC,N/A,N/A,"fuel supply emergency, hydro"
Made Public Appeals,2010,8/2/2010,12:45 p.m.,8/4/2010,11:00 AM,Cleco Power LLC,Southern Louisiana,SERC,N/A,N/A,public appeal
Made Public Appeals,2010,8/2/2010,12:45 p.m.,8/4/2010,11:00 AM,Entergy,Southern Louisiana,SERC,N/A,N/A,public appeal
Made Public Appeals,2010,8/2/2010,12:45 p.m.,8/4/2010,11:00 AM,Southwest Louisiana Electric Membership Corporation,Southwestern Louisiana,SERC,N/A,N/A,public appeal
Made Public Appeals,2010,8/2/2010,12:45 p.m.,8/4/2010,11:00 AM,Lafayette Utilities Systems,Southern Louisiana,SPP,N/A,N/A,public appeal
Thunderstorms,2010,7/29/2010,5:43 p.m.,7/29/2010,8:07 PM,Dominion - Virginia Power,Virginia,SERC,N/A,55000,"severe weather, thunderstorm"
"Shed Interruptible Load, Wildfire",2010,7/29/2010,6:39 p.m.,7/29/2010,7:26 PM,Southern California Edison Company,Southern California,WECC,522,N/A,"load shedding, wild fire"
"Shed Interruptible Load, Wildfire",2010,7/29/2010,6:39 p.m.,7/29/2010,7:26 PM,California Independent System Operator,Southern California,WECC,522,N/A,"load shedding, wild fire"
Severe Weather,2010,7/25/2010,3:10 p.m.,7/30/2010,11:30 PM,Potomac Electric Power Co,"Washington, DC Region",RFC,N/A,297700,severe weather
Severe Weather,2010,7/25/2010,4:11 p.m.,7/25/2010,8:06 PM,Dominion - Virginia Power,Northern Virginia,SERC,900-1000,81000,severe weather
Severe Weather,2010,7/25/2010,3:20 p.m.,7/27/2010,6:00 PM,Baltimore Gas and Electric,Central Maryland,RFC,480,124000,severe weather
Made Public Appeals,2010,7/23/2010,10:00 a.m.,7/24/2010,11:55 PM,Pacificorp,Northern Utah,WECC,6/8/2014,N/A,public appeal
Severe Weather,2010,7/23/2010,7:30 p.m.,7/26/2010,6:30 PM,Detroit Edison,Southeastern Michigan,RFC,400,82000,severe weather
Thunderstorms,2010,7/21/2010,6:44 p.m.,7/21/2010,8:00 PM,ISO New England,Connecticut,NPCC,N/A,50100,"severe weather, thunderstorm"
"Strong Winds, Tornadoes",2010,7/17/2010,8:30 p.m.,7/19/2010,10:00 PM,Xcel Energy,Minnesota,MRO,N/A,63000,"severe weather, tornado"
Severe Weather,2010,7/15/2010,7:00 p.m.,7/19/2010,11:30 PM,Detroit Edison,Southeastern Michigan,RFC,540,127534,severe weather
Loss of Transmission Equipment,2010,7/7/2010,4:13 p.m.,7/7/2010,10:29 PM,"PJM Interconnection, LLC","York, South Central Pennsylvania",RFC,N/A,43903,equipment failure
Transformer Outage,2010,7/6/2010,3:47 a.m.,7/6/2010,4:37 AM,Delmarva Power & Light Company,"Newark, DE",RFC,95,18400,equipment failure
Electrical System Separation,2010,6/25/2010,11:36 p.m.,6/26/2010,1:38 AM,Pacific Gas and Electric,Northern California,WECC,N/A,N/A,islanding
Thunderstorms,2010,6/24/2010,3:30 p.m.,6/29/2010,11:59 PM,PECO,Southeastern Pennsylvania,RFC,N/A,355000,"severe weather, thunderstorm"
Thunderstorms,2010,6/24/2010,3:00 p.m.,6/29/2010,12:00 PM,Atlantic City Electric,Southwestern New Jersey,RFC,N/A,150000,"severe weather, thunderstorm"
Severe Weather,2010,6/23/2010,5:00 p.m.,6/25/2010,1:40 PM,Commonwealth Edison,"Chicago, IL",RFC,N/A,300000,severe weather
Thunderstorms,2010,6/23/2010,5:48 p.m.,6/24/2010,2:21 AM,Northern Indiana Public Service Company,Northwest Indiana,RFC,N/A,53000,"severe weather, thunderstorm"
Made Public Appeal/Transmission Equipment Failure,2010,6/22/2010,3:34 p.m.,6/22/2010,7:00 PM,Entergy,West/Central Arkansas,SERC,84,25159,"public appeal, equipment failure"
Thunderstorms,2010,6/21/2010,1:48 p.m.,6/22/2010,8:31 PM,Duke Energy Midwest,"Cincinnati, OH",RFC,400,50636,"severe weather, thunderstorm"
Severe Weather,2010,6/18/2010,8:00 p.m.,6/22/2010,7:30 PM,Detroit Edison,"Detroit, MI",RFC,N/A,150000,severe weather
Severe Weather,2010,6/18/2010,4:00 p.m.,6/20/2010,1:00 PM,Commonwealth Edison,"Chicago, IL",RFC,N/A,400000,severe weather
Severe Weather,2010,6/18/2010,8:00 p.m.,6/21/2010,10:45 AM,American Electric Power,"Indiana, Michigan",RFC,N/A,79000,severe weather
Thunderstorms,2010,6/18/2010,7:00 p.m.,6/19/2010,5:00 AM,Consumers Energy,Southern Portion of Lower Michigan,RFC,N/A,100000,"severe weather, thunderstorm"
Thunderstorms,2010,6/18/2010,3:30 p.m.,6/20/2010,12:30 AM,Northern Indiana Public Service Company,Northwest Indiana,RFC,N/A,94345,"severe weather, thunderstorm"
Made Public Appeal,2010,6/17/2010,8:30 a.m.,6/17/2010,5:47 PM,Louisiana Energy and Power Authority,"Morgan City, LA",SPP,N/A,N/A,public appeal
Made Public Appeal,2010,6/17/2010,9:30 a.m.,6/17/2010,5:17 PM,Entergy,Southern Louisiana,SERC,N/A,N/A,public appeal
Made Public Appeal,2010,6/17/2010,9:30 a.m.,6/17/2010,4:40 PM,Cleco Power LLC,Southern Louisiana,SERC,N/A,N/A,public appeal
Made Public Appeal,2010,6/17/2010,9:30 a.m.,6/17/2010,4:40 PM,Southwest Louisiana Electric Membership Corporation,Southwestern Louisiana,SPP,N/A,N/A,public appeal
Electrical System Separation,2010,6/17/2010,10:49 a.m.,6/17/2010,11:02 AM,Western Area Power Administration,Eastern Montana,MRO,N/A,N/A,islanding
Voltage Reduction (System Test),2010,6/16/2010,11:11 a.m.,6/16/2010,11:32 AM,Orange and Rockland Utilities,New York (Rockland and Orange Counties),NPCC,N/A,N/A,voltage reduction
Transmission System Interruption,2010,6/9/2010,2:18 p.m.,6/9/2010,3:00 PM,North Carolina Eastern Municipal Power Agency,"Edenton, NC",SERC,N/A,4196,transmission interruption
Thunderstorms,2010,6/8/2010,11:00 a.m.,6/8/2010,5:00 PM,Centerpoint Energy,Southeastern Texas,TRE,N/A,79741,"severe weather, thunderstorm"
Firm Load Shed,2010,6/7/2010,6:29 p.m.,6/8/2010,1:00 AM,Public Service Company of Colorado,Denver Metropolitan Area,WECC,300,31000,load shedding
Electric System Separation,2010,6/6/2010,4:45 a.m.,6/6/2010,5:35 AM,Pacific Gas and Electric,Northern California,WECC,3,2650,islanding
Severe Weather,2010,6/2/2010,8:18 p.m.,6/4/2010,8:00 AM,CPS Energy,"San Antonio, TX",TRE,N/A,126000,severe weather
Firm Load Shed,2010,6/1/2010,10:03 p.m.,6/18/2010,12:30 AM,Southern Indiana Gas and Electric Company,Southwestern Indiana,RFC,500,1,load shedding
Made Public Appeal - System Drill,2010,5/26/2010,11:45 a.m.,5/26/2010,3:00 PM,Allegheny Power,"Maryland, Pennsylvania, West Virginia, Virginia","RFC, SERC",N/A,N/A,public appeal
Breakers Tripped,2010,5/18/2010,8:15 a.m.,5/18/2010,10:46 PM,California Department of Water Resources,Central California,WECC,318,N/A,breaker trip
Thunderstorms,2010,5/2/2010,2:40 p.m.,5/9/2010,7:30 PM,Tennesse Valley Authority,Tennessee and Mississippi,SERC,N/A,50500,"severe weather, thunderstorm"
Transmission System Interruption,2010,4/27/2010,2:55 p.m.,4/27/2010,2:55 PM,North Carolina Eastern Municipal Power Agency,"Rocky Mount, NC",SERC,N/A,29376,transmission interruption
Generator Tripped,2010,4/21/2010,3:05 p.m.,4/21/2010,8:00 PM,Dow Chemical Co,"Iberville, Parish, Louisiana",SERC,N/A,N/A,generator trip
Severe Thunderstorms,2010,4/16/2010,5:15 p.m.,4/18/2010,5:00 PM,Allegheny Power,Southwestern Pennsylvania,RFC,15,120000,"severe weather, thunderstorm"
Shed Firm Load,2010,3/31/2010,11:59 p.m.,4/1/2010,12:55 AM,San Diego Gas & Electric Company,San Diego and Orange Counties,WECC,324,290000,load shedding
Shed Firm Load,2010,3/31/2010,11:59 p.m.,4/1/2010,12:38 AM,California Independent System Operator,San Diego,WECC,324,N/A,load shedding
High Winds and Rain,2010,3/13/2010,12:00 p.m.,3/15/2010,8:05 PM,ISO New England,Connecticut,NPCC,50,50246,"severe weather, wind, rain"
High Winds and rain,2010,3/13/2010,1:00 a.m.,3/16/2010,6:40 PM,Exelon Corporation/PECO,Southeasten Pennsylvania,RFC,N/A,177528,"severe weather, wind, rain"
High Winds and Rain,2010,3/13/2010,3:00 p.m.,3/17/2010,4:00 PM,Long Island Power Authority,Long Island,NPCC,N/A,153000,"severe weather, wind, rain"
High Winds and Rain,2010,3/13/2010,6:00 p.m.,3/20/2010,12:59 PM,Public Service Electric & Gas Company,"Southern, Central and Northern New Jersey",RFC,100,360000,"severe weather, wind, rain"
High Winds and Rain,2010,3/13/2010,6:00 p.m.,3/20/2010,9:00 AM,Consolidated Edison of NY,New York City and Westchester County,NPCC,N/A,173000,"severe weather, wind, rain"
High Winds and Flooding,2010,3/13/2010,4:00 p.m.,3/16/2010,12:00 AM,Jersey Central Power and Light Company,Central New Jersey and Northern New Jersey,RFC,N/A,180000,"severe weather, wind, flooding"
Winter Storm,2010,2/25/2010,12:01 a.m.,2/26/2010,9:00 PM,Orange and Rockland Utilities Inc,"Southeastern New York, Northern New Jersey",,N/A,65000,"severe weather, winter storm"
Winter Storm,2010,2/25/2010,5:00 p.m.,3/2/2010,7:00 PM,Consolidated Edison of NY,New York City,NPCC,N/A,55000,"severe weather, winter storm"
Winter Storm,2010,2/25/2010,11:53 p.m.,3/1/2010,4:40 PM,ISO New England,Southern Maine and New Hampshire,NPCC,510,509606,"severe weather, winter storm"
Winter Storm,2010,2/23/2010,10:00 p.m.,2/25/2010,4:00 PM,Central Hudson Gas & Electric Corp,Upstate New York,NPCC,N/A,150000,"severe weather, winter storm"
Firm System Load Shed,2010,2/19/2010,8:30 p.m.,2/20/2010,4:01 AM,California Department of Water Resources,"San Joaquin Field Division/Bakersfield, CA",WECC,1000,N/A,load shedding
Winter Storm,2010,2/14/2010,10:00 a.m.,2/14/2010,12:00 PM,Allegheny Power,Western Pennsylvania nd Northeast Central WV,RFC,900,190000,"severe weather, winter storm"
Winter Storm,2010,2/12/2010,5:00 a.m.,2/12/2010,5:00 PM,American Electric Power,"East Texas, Western Arkansas, Northern Lousiania",SPP,N/A,52999,"severe weather, winter storm"
Winter Storm,2010,2/11/2010,12:00 p.m.,2/15/2010,9:00 PM,Oncor Electric Delivery Company,Dallas/Fort Worth and East Texas,TRE,N/A,500000,"severe weather, winter storm"
Winter Storm,2010,2/9/2010,6:00 p.m.,2/14/2010,4:00 PM,Exelon Corporation,Southeastern Pennsylvania,RFC,N/A,223000,"severe weather, winter storm"
Winter Storm,2010,2/6/2010,8:00 a.m.,2/6/2010,9:00 AM,Delmarva Power & Light Company,Delmarva Peninsula,RFC,N/A,58491,"severe weather, winter storm"
Winter Storm,2010,2/6/2010,2:30 a.m.,2/7/2010,7:00 AM,Dominion,"Virginia, North Carolina",SERC,600,104736,"severe weather, winter storm"
Winter Storm,2010,2/5/2010,6:48 p.m.,2/7/2010,5:00 PM,Duke Energy Carolinas,North and South Carolina,SERC,500,74000,"severe weather, winter storm"
Winter Storm,2010,2/5/2010,3:00 p.m.,2/13/2010,4:00 PM,Atlantic City Electric,Southern NJ,RFC,N/A,221000,"severe weather, winter storm"
Winter Storm,2010,2/5/2010,7:00 p.m.,2/12/2010,3:46 PM,Potomac Electric Power Co,"District of Columbia, Prince Georges and Montgomery Co. MD",RFC,N/A,97651,"severe weather, winter storm"
Winter Storm,2010,2/5/2010,10:30 p.m.,2/12/2010,12:00 PM,Duquesne Light Company,Southwestern Pennsylvania,RFC,N/A,57000,"severe weather, winter storm"
Winter Storm,2010,2/5/2010,11:30 p.m.,2/7/2010,2:38 AM,American Electric Power,"Indiana, Ohio, W. Virginia and Virginia",RFC,N/A,102225,"severe weather, winter storm"
Ice Storm/Electrical System Separation,2010,2/1/2010,2:32 p.m.,2/1/2010,5:00 PM,Western Farmers Electric Cooperative,Oklahoma,SPP,30,0,"severe weather, winter storm, islanding"
Ice Storm,2010,1/28/2010,12:00 p.m.,2/2/2010,12:00 PM,American Electric Power,Oklahoma,SPP,N/A,68705,"severe weather, winter storm"
Severe Storm,2010,1/20/2010,1:00 p.m.,1/24/2010,6:10 PM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,N/A,147223,"severe weather, storm"
Severe Storm,2010,1/19/2010,2:30 p.m.,1/20/2010,3:00 PM,San Diego Gas & Electric Company,San Diego and Orange Counties,WECC,2650,50000,"severe weather, storm"
Severe Storm,2010,1/19/2010,7:30 a.m.,1/19/2010,12:24 PM,California ISO,San Francisco,WECC,300,30000,"severe weather, storm"
Severe Storm,2010,1/18/2010,11:30 a.m.,1/28/2010,8:00 AM,Pacific Gas and Electric Company,Northern and Central California,WECC,290,"1,700,000","severe weather, storm"
Interruptible Load Shed/Made Public Appeals,2010,1/11/2010,3:45 a.m.,1/11/2010,9:57 AM,Progress Energy Florida,Northern and Central Florida,"FRCC, SERC",N/A,N/A,"load shedding, public appeal"
Made Public Appeals,2010,1/6/2010,6:00 p.m.,1/8/2010,6:00 PM,Southwest Louisiana Electric Membership Corporation,Southwest Louisiana,SERC,N/A,N/A,public appeal
Severe Weather,2009,12/18/2009,8:00 p.m.,12/25/2009,9:30 p.m.,American Electric Power,"West Virginia, Kentucky, Ohio",RFC,N/A,403913,severe weather
Severe Weather,2009,12/18/2009,10:55 p.m.,12/19/2009,11:15 p.m.,Progress Energy Carolinas Inc,Western North Carolina,SERC,N/A,47000,severe weather
Severe Weather,2009,12/10/2009,5:45 p.m.,12/12/2009,8:00 a.m.,Detroit Edison,Michigan,RFC,N/A,65562,severe weather
Severe Weather,2009,12/9/2009,1:37 p.m.,12/10/2009,6:30 a.m.,American Electric Power,Ohio,RFC,N/A,48102,severe weather
Load Shed/Made Public Appeals,2009,12/8/2009,6:34 a.m.,12/8/2009,12:00 p.m.,California Independent System Operator,California,WECC,N/A,N/A,"load shedding, public appeal"
Severe Weather,2009,12/8/2009,1:00 a.m.,12/10/2009,11:00 a.m.,Arizona Public Service,Arizona,WECC,N/A,140000,severe weather
Forced Outage Equipment Failure,2009,12/7/2009,10:00 p.m.,12/8/2009,4:00 a.m.,California Department of Water Resources,California,WECC,400,N/A,equipment failure
Switching Failure,2009,11/18/2009,6:15 a.m.,11/18/2009,10:00 a.m.,California Dept of Water Resources,"Central Valley, CA",WECC,630,N/A,equipment failure
Tropical Storm Ida,2009,11/12/2009,6:45 p.m.,11/14/2009,4:25 a.m.,Dominion VirginiaPower/Dominion North Carolina Power,"Southeastern Virginia, Northeastern North Carolina",SERC,400,335000,"severe weather, hurricane/tropical storm"
High Winds,2009,10/13/2009,3:45 p.m.,10/13/2009,5:50 p.m.,Sacramento Municipal Utility District,Sacramento County,WECC,90,94000,"severe weather, wind"
Ice,2009,10/13/2009,12:48 p.m.,10/13/2009,2:34 p.m.,Western Area Power Administration Upper Great Plains Region,Southeastern Wyoming,WECC,101,35500,"severe weather, winter storm"
High Winds and Rain,2009,10/13/2009,4:00 p.m.,10/13/2009,10:30 p.m.,Pacific Gas and Electric,Northern California,WECC,350,859554,"severe weather, wind, rain"
Transmission System Interruption,2009,10/9/2009,6:30 p.m.,10/9/2009,7:10 p.m.,California Department of Water Resources,"Central Valley, CA (Bakersfield, CA)",WECC,180,N/A,transmission interruption
Winter Storm,2009,10/9/2009,10:45 p.m.,10/11/2009,4:00 p.m.,Entergy Corporation,Arkansas and North Louisiana,SERC,N/A,56000,"severe weather, winter storm"
Severe Storms,2009,10/7/2009,5:45 a.m.,10/9/2009,11:00 p.m.,Detroit Edison,Southeast Michigan,RFC,N/A,75000,"severe weather, storm"
Made Public Appeals,2009,8/31/2009,10:31 a.m.,8/31/2009,12:00 a.m.,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,N/A,N/A,public appeal
Electrical System Separation,2009,8/29/2009,11:00 a.m.,8/29/2009,2:01 p.m.,Western Area Power Administration Upper Great Plains Region,Western South Dakota,MRO,373,18,islanding
Electrical System Separation,2009,8/29/2009,10:54 p.m.,8/29/2009,11:53 p.m.,Midwest ISO,Western South Dakota,RFC,84,0,islanding
Thunderstorms,2009,8/21/2009,7:00 p.m.,8/22/2009,8:00 a.m.,CenterPoint Energy,Houston Metropolitan Service Area,TRE,544,80000,"severe weather, thunderstorm"
Thunderstorms,2009,8/12/2009,6:25 p.m.,8/12/2009,10:00 a.m.,CenterPoint Energy,South Houston Service Area,TRE,491,73000,"severe weather, thunderstorm"
Severe Thunderstorms,2009,8/9/2009,7:31 p.m.,8/10/2009,9:59 a.m.,Consumers Energy,"Michigan, Lower Peninsula",RFC,N/A,58156,"severe weather, thunderstorm"
High Winds and Rain,2009,8/7/2009,11:00 p.m.,8/11/2009,10:00 p.m.,Detroit Edison,Western Region of Service Territory,RFC,N/A,137000,"severe weather, wind, rain"
Made Public Appeals,2009,8/5/2009,3:00 p.m.,8/5/2009,7:00 p.m.,ERCOT ISO,ERCOT Region,TRE,N/A,N/A,public appeal
Thunderstorms,2009,8/4/2009,1:45 p.m.,8/8/2009,9:00 p.m.,Duke Energy Midwest,"Northern Kentucky, Southwest Ohio and Central and South Indiana",RFC,50,63700,"severe weather, thunderstorm"
Highwinds,2009,8/2/2009,2:17 a.m.,8/3/2009,1:09 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",RFC,N/A,70264,"severe weather, wind"
Loss of Part of Substation,2009,7/28/2009,8:18 p.m.,7/28/2009,8:33 p.m.,PacificCorp,Salt Lake City Utah and Northern Utah,WECC,316,N/A,equipment failure
